# realization delta_U Q_sys W_nc_env W_proto_on balance residual
           1 -8.763920120088464E-002 -8.668882330374720E-003
 -1.163900334112349E-002 -9.060944643248237E-002 -8.763932542173360E-002
  1.242208489543595E-007
           2 -8.188619284272569E-002  1.238454261240800E-003
 -7.827123725992436E-003 -9.095189462659414E-002 -8.188631663936091E-002
  1.237966352207742E-007
           3 -8.732528494127045E-002  4.967837877955350E-003
  1.395930136534392E-003 -9.089731605648346E-002 -8.732540831506251E-002
  1.233737920575129E-007
           4 -9.441667017297206E-002 -7.597288298433286E-003
 -3.866910671322235E-003 -9.068641878459281E-002 -9.441679641170386E-002
  1.262387318012870E-007
           5 -0.101034232170120       1.709668463481872E-002
  2.727216119816086E-002 -9.085887772424968E-002 -0.101034354287592     
  1.221174719540086E-007
           6 -0.133919318203079      -6.842338323659047E-003
  3.647271343066875E-002 -9.060439182273174E-002 -0.133919443577060     
  1.253739808637633E-007
           7 -0.120682297678037       1.695460546464175E-003
  3.148452029250340E-002 -9.089336202405369E-002 -0.120682421770093     
  1.240920556311309E-007
           8 -7.729898229432663E-002  6.260533692300160E-003
 -6.928851266712418E-003 -9.048849166118386E-002 -7.729910670217129E-002
  1.244078446510644E-007
           9 -0.122594833551350      -1.232816761280493E-002
  1.904058320783548E-002 -9.122620535392707E-002 -0.122594956174567     
  1.226232174411646E-007
          10 -9.009228134115510E-002  4.625747932856042E-003
  3.973272357506245E-003 -9.074488110779991E-002 -9.009240553245011E-002
  1.241912950117330E-007
          11 -8.004669971886003E-002  7.736082693108208E-003
 -2.926858227244357E-003 -9.070976450783320E-002 -8.004682358748064E-002
  1.238686206106454E-007
          12 -6.236189650133461E-002  1.141921083706854E-002
 -1.686382514990633E-002 -9.064505857220335E-002 -6.236202258522848E-002
  1.260838938671460E-007
          13 -8.595860810463307E-002  5.098874106113371E-003
 -7.153903935026937E-005 -9.112914588521144E-002 -8.595873273974780E-002
  1.246351147288216E-007
          14 -9.677221810627579E-002  2.546675712581062E-003
  8.672004118267650E-003 -9.064701357762288E-002 -9.677234198330947E-002
  1.238770336864370E-007
          15 -0.109911095992620       7.314229867253122E-003
  2.577802214355622E-002 -9.144742931561056E-002 -0.109911221591914     
  1.255992932713834E-007
          16 -6.689135638982791E-002 -3.643005260402989E-003
 -2.741316396794288E-002 -9.066164114848907E-002 -6.689148244094918E-002
  1.260511212769488E-007
          17 -5.544782761868916E-002  1.046400650532647E-002
 -2.469001631210037E-002 -9.060197628475081E-002 -5.544795346732397E-002
  1.258486348049148E-007
          18 -9.498796026841916E-002  1.097212079302322E-004
  4.655914290203043E-003 -9.044189172118333E-002 -9.498808480345614E-002
  1.245350369771803E-007
          19 -8.741598570086495E-002  1.348885112680243E-002
  1.016455278491633E-002 -9.074040702382430E-002 -8.741610868193821E-002
  1.229810732555903E-007
          20 -6.930602757401871E-002  1.710519329751658E-002
 -3.245862190260035E-003 -8.965720709571275E-002 -6.930615160793613E-002
  1.240339174146676E-007
          21 -8.178631104037493E-002  6.461998575369297E-003
 -2.300375891150599E-003 -9.054881059228785E-002 -8.178643612576796E-002
  1.250853930295781E-007
          22 -0.104986511459543       3.146461078174304E-004
  1.471602717354788E-002 -9.058525328104501E-002 -0.104986634346775     
  1.228872320568897E-007
          23 -9.149697342081708E-002  1.069021759078671E-003
  2.324141717849728E-003 -9.024197871203318E-002 -9.149709867080424E-002
  1.252499871595703E-007
          24 -7.896961514613388E-002  7.766742293021073E-003
 -3.781436230549772E-003 -9.051792011328291E-002 -7.896974158971207E-002
  1.264435781911377E-007
          25 -9.072402118560419E-002  2.744401650942484E-002
  2.771515694057778E-002 -9.045300727067981E-002 -9.072414770183276E-002
  1.265162285768451E-007
          26 -8.191343542612728E-002  1.053679230782361E-002
  1.847014111951111E-003 -9.060333745369177E-002 -8.191355925781926E-002
  1.238316919838223E-007
          27 -8.734175240380360E-002  3.958524755169456E-003
  6.710090630993207E-004 -9.062939333013899E-002 -8.734187763806885E-002
  1.252342652496852E-007
          28 -8.947538499892005E-002  6.149228805568500E-003
  5.420310872092764E-003 -9.020442877931312E-002 -8.947551084583738E-002
  1.258469173315291E-007
          29 -0.128206771633275      -2.081880264414609E-002
  1.719380341265022E-002 -9.019429094657622E-002 -0.128206897003373     
  1.253700974146454E-007
          30 -9.817103797409032E-002  8.479489412300138E-003
  1.642983598548919E-002 -9.022081763357179E-002 -9.817116420676084E-002
  1.262326705109285E-007
          31 -7.740138706897604E-002  8.394251656752835E-003
 -4.424071506060117E-003 -9.021983511643794E-002 -7.740151195362499E-002
  1.248846489554367E-007
          32 -8.220300135907621E-002  2.253131226767884E-003
 -6.270187756529499E-003 -9.072644831447893E-002 -8.220312933118154E-002
  1.279721053293326E-007
          33 -7.067956639414774E-002  6.835488834391605E-003
 -1.314055235596784E-002 -9.065573311691159E-002 -7.067969192655216E-002
  1.255324044158179E-007
          34 -5.225464651058687E-002  1.821137482200060E-002
 -2.020501134768525E-002 -9.067115720101161E-002 -5.225477103132576E-002
  1.245207388936298E-007
          35 -0.118577450439876      -2.127301727835006E-003
  2.579584843521234E-002 -9.065442544641988E-002 -0.118577575609467     
  1.251695914555873E-007
          36 -7.092801630217771E-002  1.035219612646150E-002
 -9.544843813276206E-003 -9.082518114276843E-002 -7.092814120303073E-002
  1.249008530213036E-007
          37 -8.518797385566579E-002  3.239065910400248E-003
 -1.840776296124933E-003 -9.026794090425802E-002 -8.518809869773283E-002
  1.248420670452166E-007
          38 -7.758232977101898E-002  9.692116592213966E-003
 -3.744337241887665E-003 -9.101890774487140E-002 -7.758245391076976E-002
  1.241397507845132E-007
          39 -7.140866259651091E-002  1.288534480540857E-002
 -5.773109392860897E-003 -9.006724168581902E-002 -7.140878748754956E-002
  1.248910386497659E-007
          40 -8.517487668650503E-002 -1.471583118764980E-002
 -2.013265695872601E-002 -9.059182757949523E-002 -8.517500180841901E-002
  1.251219139825066E-007
          41 -9.103380856808130E-002  6.366662052166405E-003
  6.610749832834385E-003 -9.078984654011620E-002 -9.103393432078417E-002
  1.257527028758476E-007
          42 -9.863920877694987E-002 -2.159933234073334E-002
 -1.360062955280085E-002 -9.064063326075276E-002 -9.863933604868526E-002
  1.272717353867359E-007
          43 -9.037584529489706E-002  8.637995883845700E-003
  8.623901127257704E-003 -9.039006501949462E-002 -9.037597026290663E-002
  1.249680095655181E-007
          44 -9.265572372415143E-002  7.182252597911859E-003
  9.547462512539923E-003 -9.029063913254033E-002 -9.265584904716839E-002
  1.253230169639963E-007
          45 -8.667595251855609E-002 -6.833128474184717E-003
 -1.022184411906072E-002 -9.006479059215702E-002 -8.667607494728102E-002
  1.224287249357303E-007
          46 -6.729866190899614E-002  7.400174984563253E-003
 -1.595261599295035E-002 -9.065157488245282E-002 -6.729878390493922E-002
